,region,state,grid_mode,agent,type,plant_name,plant_id,ons_name,ons_id,operation,primary,auction_start_time,start_time,end_time,capacity
2363,NE,BA,type C,EOL MARON,on_wind,MARON,EOL.CV.BA.030768-8,UG 15P1 MW ARA_MARON                11 BA,BAUEMA0G11,11,Wind,2015-01-06,2015-03-04,,15.12
2364,NE,BA,type C,EOL MARON,on_wind,MARON,EOL.CV.BA.030768-8,UG 15P1 MW ARA_MARON                12 BA,BAUEMA0G12,12,Wind,2015-01-06,2015-03-04,,15.12
2365,NE,BA,type C,EOL MORRÃO,on_wind,MORRÃO,EOL.CV.BA.030506-5,UG 10P0 MW MOR_MORRAO               08 BA,BAUEMR0G08,08,Wind,2014-09-10,2014-10-11,,10.08
2366,NE,BA,type C,EOL MORRÃO,on_wind,MORRÃO,EOL.CV.BA.030506-5,UG 10P0 MW MOR_MORRAO               09 BA,BAUEMR0G09,09,Wind,2014-09-10,2014-10-11,,10.08
2367,NE,BA,type C,EOL MORRÃO,on_wind,MORRÃO,EOL.CV.BA.030506-5,UG 10P0 MW MOR_MORRAO               10 BA,BAUEMR0G10,10,Wind,2014-09-10,2014-10-11,,10.08
2368,NE,BA,type C,MORRO BRANCO I,on_wind,MORRO BRANCO I,EOL.CV.BA.031336-0,UG 32P9 MW PBR_MOR BRANC I           1 BA,BAEMBU0UG1,1,Wind,2015-08-14,2015-11-04,,32.9
2369,NE,BA,type C,MORRO BRANCO II,on_wind,MORRO BRANCO II,EOL.CV.BA.032417-5,UG 31P1 MW ARI_M BRANCO II          R1 BA,BAMBD-0UGR1,R1,Wind,2022-04-26,2022-07-09,,31.185
2370,NE,BA,type C,UNHA DANTA,on_wind,MULUNGU,EOL.CV.BA.032362-4,UG  8P1 MW QUN_MULUNGU             R13 BA,BAEMLG0R13,R13,Wind,2022-08-26,2022-09-03,,8.1
2371,NE,BA,type C,UNHA DANTA,on_wind,MULUNGU,EOL.CV.BA.032362-4,UG  5P4 MW QUN_MULUNGU             R14 BA,BAEMLG0R14,R14,Wind,2022-08-26,2022-09-03,,5.4
2372,NE,BA,type C,MUSSAMBE,on_wind,MUSSAMBÊ,EOL.CV.BA.031352-1,UG 32P9 MW PBR_MUSSAMBE              1 BA,BAEMUS0UG1,1,Wind,2015-08-06,2015-10-14,,32.9
2373,NE,BA,type C,N S DA CONCEIÇÃO,on_wind,NOSSA SENHORA DA CONCEIÇÃO,EOL.CV.BA.030318-6,UG  9P6 MW IGD_NSRA CONCEI          06 BA,BAUENC0UG6,06,Wind,2014-06-10,2014-07-04,,9.6
2374,NE,BA,type C,N S DA CONCEIÇÃO,on_wind,NOSSA SENHORA DA CONCEIÇÃO,EOL.CV.BA.030318-6,UG  9P6 MW IGD_NSRA CONCEI          07 BA,BAUENC0UG7,07,Wind,2014-06-10,2014-07-04,,9.6
2375,NE,BA,type C,N S DA CONCEIÇÃO,on_wind,NOSSA SENHORA DA CONCEIÇÃO,EOL.CV.BA.030318-6,UG  9P6 MW IGD_NSRA CONCEI          08 BA,BAUENC0UG8,08,Wind,2014-06-10,2014-07-04,,9.6
2376,NE,BA,type C,NOVO HORIZONTE,on_wind,NOVO HORIZONTE,EOL.CV.BA.030305-4,UG 15P0 MW BMC_NOVO HORIZO           1 BA,BAUENH0UG1,1,Wind,2012-06-16,2012-07-06,,15.03
2377,NE,BA,type C,NOVO HORIZONTE,on_wind,NOVO HORIZONTE,EOL.CV.BA.030305-4,UG 15P0 MW BMC_NOVO HORIZO           2 BA,BAUENH0UG2,2,Wind,2012-06-16,2012-07-06,,15.03
2378,NE,BA,type C,PAJEÚ,on_wind,PAJEÚ DO VENTO,EOL.CV.BA.030319-4,UG    8 MW IGD_PAJEU VENTO          12 BA,BAUEPV0UG12,12,Wind,2014-06-10,2014-07-04,,8.0
2379,NE,BA,type C,PAJEÚ,on_wind,PAJEÚ DO VENTO,EOL.CV.BA.030319-4,UG    8 MW IGD_PAJEU VENTO          13 BA,BAUEPV0UG13,13,Wind,2014-06-10,2014-07-04,,8.0
2380,NE,BA,type C,PAJEÚ,on_wind,PAJEÚ DO VENTO,EOL.CV.BA.030319-4,UG  9P6 MW IGD_PAJEU VENTO          14 BA,BAUEPV0UG14,14,Wind,2014-06-10,2014-07-04,,9.6
2381,NE,BA,type C,PAPAGAIO ENERGIA,on_wind,PAPAGAIO,EOL.CV.BA.031511-7,UG   10 MW GPX_PAPAGAIO             R1 BA,BAEPPG0UGR1,R1,Wind,2019-06-20,2019-10-04,,10.0
2382,NE,BA,type C,PAU D’ÁGUA,on_wind,PAU D'ÁGUA,EOL.CV.BA.032246-6,UG    9 MW ABD_PAU D'AGUA          R23 BA,BAEPDA0UGR1,R23,Wind,2022-11-01,2022-11-24,,9.0
2383,NE,BA,type C,PAU D’ÁGUA,on_wind,PAU D'ÁGUA,EOL.CV.BA.032246-6,UG    9 MW ABD_PAU D'AGUA          R22 BA,BAEPDA0UGR2,R22,Wind,2022-11-01,2022-11-24,,9.0
2384,NE,BA,type C,UNHA DANTA,on_wind,PAU SANTO,EOL.CV.BA.032363-2,UG  8P1 MW ABL_PAU SANTO           R82 BA,BAEPSA0R82,R82,Wind,2022-02-05,2022-03-23,,8.1
2385,NE,BA,type C,UNHA DANTA,on_wind,PAU SANTO,EOL.CV.BA.032363-2,UG 10P8 MW ABL_PAU SANTO           R83 BA,BAEPSA0R821,R83,Wind,2022-02-05,2022-03-23,,10.8
2386,NE,BA,type C,PEDRA BRANCA,on_wind,PEDRA BRANCA,EOL.CV.BA.030443-3,UG   18 MW PBR_PEDRA BRANC           1 BA,BAUEPB0UG1,1,Wind,2013-02-07,2013-03-02,,18.0
2387,NE,BA,type C,PEDRA BRANCA,on_wind,PEDRA BRANCA,EOL.CV.BA.030443-3,UG   12 MW PBR_PEDRA BRANC           2 BA,BAUEPB0UG2,2,Wind,2013-02-07,2013-03-26,,12.0
2388,NE,BA,type C,EOL PELOURINHO,on_wind,PELOURINHO,EOL.CV.BA.030793-9,UG 10P0 MW PEL_PELOURINHO          GR8 BA,BAUEPO0GR8,GR8,Wind,2015-12-05,2016-01-01,,10.08
2389,NE,BA,type C,EOL PELOURINHO,on_wind,PELOURINHO,EOL.CV.BA.030793-9,UG 11P7 MW PEL_PELOURINHO          GR9 BA,BAUEPO0GR9,GR9,Wind,2015-12-05,2016-01-01,,11.76
2390,NE,BA,type C,EOL PILÕES,on_wind,PILÕES,EOL.CV.BA.030776-9,UG 10P0 MW ARA_PILOES               01 BA,BAUEPI0G01,01,Wind,2015-01-06,2015-03-04,,10.08
2391,NE,BA,type C,EOL PILÕES,on_wind,PILÕES,EOL.CV.BA.030776-9,UG 10P0 MW ARA_PILOES               02 BA,BAUEPI0G02,02,Wind,2015-01-06,2015-03-04,,10.08
2392,NE,BA,type C,EOL PILÕES,on_wind,PILÕES,EOL.CV.BA.030776-9,UG 10P0 MW ARA_PILOES               03 BA,BAUEPI0G03,03,Wind,2015-01-06,2015-03-04,,10.08
2393,NE,BA,type C,PINDAÍ,on_wind,PINDAÍ,EOL.CV.BA.030324-0,UG    8 MW IGD_PINDAI               15 BA,BAUEPD0G15,15,Wind,2014-06-10,2014-07-04,,8.0
2394,NE,BA,type C,PINDAÍ,on_wind,PINDAÍ,EOL.CV.BA.030324-0,UG    8 MW IGD_PINDAI               16 BA,BAUEPD0G16,16,Wind,2014-06-10,2014-07-04,,8.0
2395,NE,BA,type C,PINDAÍ,on_wind,PINDAÍ,EOL.CV.BA.030324-0,UG    8 MW IGD_PINDAI               17 BA,BAUEPD0G17,17,Wind,2014-06-10,2014-07-04,,8.0
2396,NE,BA,type C,PLANALTINA,on_wind,PLANALTINA,EOL.CV.BA.030322-4,UG    8 MW IGD_PLANALTINA           09 BA,BAUEPT0UG09,09,Wind,2014-06-10,2014-07-04,,8.0
2397,NE,BA,type C,PLANALTINA,on_wind,PLANALTINA,EOL.CV.BA.030322-4,UG  9P6 MW IGD_PLANALTINA           10 BA,BAUEPT0UG10,10,Wind,2014-06-10,2014-07-04,,9.6
2398,NE,BA,type C,PLANALTINA,on_wind,PLANALTINA,EOL.CV.BA.030322-4,UG  9P6 MW IGD_PLANALTINA           11 BA,BAUEPT0UG11,11,Wind,2014-06-10,2014-07-04,,9.6
2399,NE,BA,type C,PORTO SEGURO,on_wind,PORTO SEGURO,EOL.CV.BA.030323-2,UG  6P4 MW IGD_PORT SEGURO          01 BA,BAUEPS0UG1,01,Wind,2014-06-10,2014-07-04,,6.4
2400,NE,BA,type C,PRIMAVERA,on_wind,PRIMAVERA,EOL.CV.BA.030726-2,UG 13P8 MW CRI_PRIMAVERA            R1 BA,BAUEPR0UGR1,R1,Wind,2017-08-23,2017-11-10,,13.8
2401,NE,BA,type C,PRIMAVERA,on_wind,PRIMAVERA,EOL.CV.BA.030726-2,UG 16P1 MW CRI_PRIMAVERA            R2 BA,BAUEPR0UGR2,R2,Wind,2017-08-23,2017-11-10,,16.1
2402,NE,BA,type C,UNHA DANTA,on_wind,QUINA,EOL.CV.BA.032364-0,UG 10P8 MW QUN_QUINA               R10 BA,BAEQUN0UGR1,R10,Wind,2022-08-26,2022-09-06,,10.8
2403,NE,BA,type C,RIO VERDE EOL,on_wind,RIO VERDE,EOL.CV.BA.030341-0,UG  9P6 MW IGD_RIO VERDE            29 BA,BAUERV0G29,29,Wind,2014-06-10,2014-07-04,,9.6
2404,NE,BA,type C,RIO VERDE EOL,on_wind,RIO VERDE,EOL.CV.BA.030341-0,UG 11P2 MW IGD_RIO VERDE            30 BA,BAUERV0G30,30,Wind,2014-06-10,2014-07-04,,11.2
2405,NE,BA,type C,RIO VERDE EOL,on_wind,RIO VERDE,EOL.CV.BA.030341-0,UG  9P6 MW IGD_RIO VERDE            31 BA,BAUERV0G31,31,Wind,2014-06-10,2014-07-04,,9.6
2406,NE,BA,type C,SABIU,on_wind,SABIU,EOL.CV.BA.032108-7,UG  8P1 MW QUN_SABIU               R15 BA,BAESBU0UGR,R15,Wind,2022-06-16,2022-08-25,,8.1
2407,NE,BA,type C,SABIU,on_wind,SABIU,EOL.CV.BA.032108-7,UG  5P4 MW QUN_SABIU               R16 BA,BAESBU0UGR1,R16,Wind,2022-06-16,2022-08-25,,5.4
2408,NE,BA,type C,SÃO JUDAS,on_wind,SÃO JUDAS,EOL.CV.BA.030725-4,UG 11P5 MW CRI_SAO JUDAS            R1 BA,BAUESJ0UGR1,R1,Wind,2017-08-23,2017-12-01,,11.5
2409,NE,BA,type C,SÃO JUDAS,on_wind,SÃO JUDAS,EOL.CV.BA.030725-4,UG 18P4 MW CRI_SAO JUDAS            R2 BA,BAUESJ0UGR2,R2,Wind,2017-08-23,2017-12-01,,18.4
2410,NE,BA,type C,SÃO PEDRO DO LAGO,on_wind,SÃO PEDRO DO LAGO,EOL.CV.BA.030456-5,UG 15P4 MW PBR_S PEDRO LAG           1 BA,BAUEPL0UG1,1,Wind,2013-02-07,2013-03-02,,15.465
2411,NE,BA,type C,SÃO PEDRO DO LAGO,on_wind,SÃO PEDRO DO LAGO,EOL.CV.BA.030456-5,UG   16 MW PBR_S PEDRO LAG           2 BA,BAUEPL0UG2,2,Wind,2013-02-07,2013-03-26,,16.0
2412,NE,BA,type C,EOL SÃO SALVADOR,on_wind,SÃO SALVADOR,EOL.CV.BA.031120-0,UG  8P1 MW TBD_SAO_SALVADO         R36 BA,BAESSA0R38,R36,Wind,2022-03-18,2022-05-18,,8.1
2413,NE,BA,type C,EOL SÃO SALVADOR,on_wind,SÃO SALVADOR,EOL.CV.BA.031120-0,UG 10P8 MW TBD_SAO_SALVADO         R37 BA,BAESSA0R39,R37,Wind,2022-03-18,2022-05-18,,10.8
2414,NE,BA,type C,SEABRA,on_wind,SEABRA,EOL.CV.BA.030306-2,UG 15P0 MW BMC_SEABRA                1 BA,BAUESR0UG1,1,Wind,2012-06-16,2012-07-06,,15.03
2415,NE,BA,type C,SEABRA,on_wind,SEABRA,EOL.CV.BA.030306-2,UG 15P0 MW BMC_SEABRA                2 BA,BAUESR0UG2,2,Wind,2012-06-16,2012-07-06,,15.03
2416,NE,BA,type C,EOL SERAIMA,on_wind,SERAÍMA,EOL.CV.BA.030546-4,UG 16P8 MW MOR_SERAIMA              06 BA,BAUESE0G06,06,Wind,2014-09-10,2014-10-11,,16.8
2417,NE,BA,type C,EOL SERAIMA,on_wind,SERAÍMA,EOL.CV.BA.030546-4,UG 13P4 MW MOR_SERAIMA              07 BA,BAUESE0G07,07,Wind,2014-09-10,2014-10-11,,13.44
2418,NE,BA,type C,SERRA DA BABILONIA A,on_wind,SERRA DA BABILÔNIA A,EOL.CV.BA.037083-5,UG 10P6 MW SDB_SERRA_BAB A         R17 BA,BAEB0A0UG17,R17,Wind,2021-03-06,2021-05-18,,10.6
2419,NE,BA,type C,SERRA DA BABILONIA A,on_wind,SERRA DA BABILÔNIA A,EOL.CV.BA.037083-5,UG 10P6 MW SDB_SERRA_BAB A         R18 BA,BAEB0A0UG18,R18,Wind,2021-02-25,2021-05-18,,10.6
2420,NE,BA,type C,SERRA DA BABILONIA B,on_wind,SERRA DA BABILÔNIA B,EOL.CV.BA.040608-2,UG 15P3 MW SDB_SERRA_BAB B         R19 BA,BAEB0B0UG19,R19,Wind,2021-03-19,2021-05-15,,15.3
2421,NE,BA,type C,SERRA DA BABILONIA B,on_wind,SERRA DA BABILÔNIA B,EOL.CV.BA.040608-2,UG 15P3 MW SDB_SERRA_BAB B         R20 BA,BAEB0B0UG20,R20,Wind,2021-04-08,2021-05-15,,15.3
2422,NE,BA,type C,SERRA DA BABILONIA C,on_wind,SERRA DA BABILÔNIA C,EOL.CV.BA.040609-0,UG 15P9 MW SDB_SERRA_BAB C         R21 BA,BAEB0C0UG21,R21,Wind,2021-04-23,2021-06-19,,15.9
2423,NE,BA,type C,SERRA DA BABILONIA C,on_wind,SERRA DA BABILÔNIA C,EOL.CV.BA.040609-0,UG 10P6 MW SDB_SERRA_BAB C         R22 BA,BAEB0C0UG22,R22,Wind,2021-04-29,2021-06-19,,10.6
