id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
S;SUL;2023-04-01;5262.03906250;80.89179993;5170.12109375;79.47879791
SE;SUDESTE;2023-04-01;57171.44531250;104.36949921;46455.18750000;84.80639648
N;NORTE;2023-04-02;30715.62890625;113.89730072;19127.13085938;70.92569733
NE;NORDESTE;2023-04-02;5247.75683594;45.66510010;5247.75683594;45.66510010
S;SUL;2023-04-02;4882.71582031;75.06060028;4670.37792969;71.79640198
SE;SUDESTE;2023-04-02;56146.85546875;102.49909973;42899.71484375;78.31569672
N;NORTE;2023-04-03;30318.92773438;112.42630005;19726.03710938;73.14649963
NE;NORDESTE;2023-04-03;5045.60986328;43.90610123;5045.60986328;43.90610123
S;SUL;2023-04-03;4482.69287109;68.91110229;4389.92578125;67.48509979
SE;SUDESTE;2023-04-03;55177.06250000;100.72869873;45272.03906250;82.64649963
N;NORTE;2023-04-04;29866.18359375;110.74739838;21074.33984375;78.14620209
NE;NORDESTE;2023-04-04;4895.37500000;42.59880066;4878.93017578;42.45569992
S;SUL;2023-04-04;4143.40576172;63.69540024;4050.10791016;62.26110077
SE;SUDESTE;2023-04-04;54341.16015625;99.20269775;46452.44921875;84.80139923
N;NORTE;2023-04-05;29748.76562500;110.31199646;21283.61132813;78.92220306
NE;NORDESTE;2023-04-05;4779.97314453;41.59450150;4763.52783203;41.45140076
S;SUL;2023-04-05;4020.71289063;61.80929947;3926.39404297;60.35929871
SE;SUDESTE;2023-04-05;53620.30859375;97.88670349;45846.89062500;83.69599915
N;NORTE;2023-04-06;29855.37500000;110.70739746;20645.58398438;76.55629730
NE;NORDESTE;2023-04-06;4657.54199219;40.52920151;4646.10205078;40.42959976
S;SUL;2023-04-06;4188.22509766;64.38439941;4077.62988281;62.68420029
SE;SUDESTE;2023-04-06;53105.58203125;96.94709778;45202.92578125;82.52040100
N;NORTE;2023-04-07;29887.09570313;110.82499695;19298.54296875;71.56130219
NE;NORDESTE;2023-04-07;4527.39990234;39.39670181;4513.81494141;39.27849960
S;SUL;2023-04-07;4667.81201172;71.75689697;4526.35400391;69.58229828
SE;SUDESTE;2023-04-07;52676.69140625;96.16410065;43197.12890625;78.85870361
N;NORTE;2023-04-08;30040.00976563;111.39199829;18229.50390625;67.59719849
NE;NORDESTE;2023-04-08;4400.51513672;38.29259872;4389.07519531;38.19300079
S;SUL;2023-04-08;5430.28613281;83.47820282;5103.88818359;78.46060181
SE;SUDESTE;2023-04-08;52688.01171875;96.18479919;42683.26171875;77.92060089
N;NORTE;2023-04-09;30070.51367188;111.50509644;18358.31250000;68.07489777
NE;NORDESTE;2023-04-09;4287.56787109;37.30970001;4271.12304688;37.16659927
S;SUL;2023-04-09;5663.26318359;87.05970001;5424.61816406;83.39109802
SE;SUDESTE;2023-04-09;53442.69140625;97.56250000;41444.92187500;75.65989685
N;NORTE;2023-04-10;29964.75390625;110.43650055;18391.59960938;67.78309631
NE;NORDESTE;2023-04-10;4144.86376953;36.06790161;4136.99902344;35.99950027
S;SUL;2023-04-10;5431.22021484;83.49259949;5361.20898438;82.41629791
SE;SUDESTE;2023-04-10;54012.92187500;98.60350037;42035.25390625;76.73760223
N;NORTE;2023-04-11;29681.43164063;109.39240265;18166.76562500;66.95449829
NE;NORDESTE;2023-04-11;4071.67993164;35.43109894;4052.37500000;35.26309967
S;SUL;2023-04-11;5036.22705078;77.42050171;4959.26611328;76.23739624
SE;SUDESTE;2023-04-11;54496.46484375;99.48619843;42241.97656250;77.11499786
N;NORTE;2023-04-12;29439.74023438;108.50160217;18560.16406250;68.40440369
NE;NORDESTE;2023-04-12;3968.73095703;34.53519821;3947.99609375;34.35480118
S;SUL;2023-04-12;4612.66210938;70.90910339;4510.17285156;69.33360291
SE;SUDESTE;2023-04-12;55001.00390625;100.40730286;42607.51562500;77.78230286
N;NORTE;2023-04-13;29132.72851563;107.37010193;18670.30468750;68.81030273
NE;NORDESTE;2023-04-13;3878.34399414;33.74869919;3865.47412109;33.63669968
S;SUL;2023-04-13;4269.41894531;65.63249969;4164.36181641;64.01750183
SE;SUDESTE;2023-04-13;55324.71093750;100.99819946;42904.57421875;78.32460022
N;NORTE;2023-04-14;28804.27734375;106.15959930;18451.97851563;68.00569916
NE;NORDESTE;2023-04-14;3787.11108398;32.95479965;3767.09106445;32.78060150
S;SUL;2023-04-14;4051.26391602;62.27890015;3946.51196289;60.66859818
SE;SUDESTE;2023-04-14;55594.14843750;101.49009705;43908.62890625;80.15760040
N;NORTE;2023-04-15;28670.73632813;105.66739655;18348.21289063;67.62319946
NE;NORDESTE;2023-04-15;3712.17797852;32.30279922;3712.17797852;32.30279922
S;SUL;2023-04-15;4314.63720703;66.32769775;4030.23608398;61.95569992
SE;SUDESTE;2023-04-15;55847.69140625;101.95290375;41444.53515625;75.65920258
N;NORTE;2023-04-16;28479.81250000;104.96369934;17833.98242188;65.72799683
NE;NORDESTE;2023-04-16;3687.56298828;32.08860016;3677.55297852;32.00149918
S;SUL;2023-04-16;4806.94482422;73.89579773;4490.24609375;69.02729797
SE;SUDESTE;2023-04-16;55660.08203125;101.61049652;37188.71875000;67.88999939
N;NORTE;2023-04-17;28353.44921875;104.49800110;18070.71875000;66.60050201
NE;NORDESTE;2023-04-17;3684.46606445;32.06159973;3669.45092773;31.93099976
S;SUL;2023-04-17;6815.86816406;104.77839661;6308.90576172;96.98500061
SE;SUDESTE;2023-04-17;55354.75000000;101.05310059;39312.64453125;71.76730347
N;NORTE;2023-04-18;28230.70703125;104.04560089;18517.83984375;68.24839783
NE;NORDESTE;2023-04-18;3768.71801758;32.79479980;3755.84790039;32.68280029
S;SUL;2023-04-18;9947.35644531;152.91780090;3563.03906250;54.77360153
SE;SUDESTE;2023-04-18;56177.16406250;102.55439758;39576.66406250;72.24929810
N;NORTE;2023-04-19;27999.99218750;103.19529724;18520.65625000;68.25879669
NE;NORDESTE;2023-04-19;3940.67504883;34.29109955;3927.09008789;34.17290115
S;SUL;2023-04-19;11308.95214844;173.84919739;6773.91406250;104.13339996
SE;SUDESTE;2023-04-19;56080.37500000;102.37770081;36807.64453125;67.19429779
N;NORTE;2023-04-20;27709.31640625;102.12400055;17585.98242188;64.81400299
NE;NORDESTE;2023-04-20;4051.25708008;35.25339890;4051.25708008;35.25339890
S;SUL;2023-04-20;10785.05175781;165.79550171;7073.74902344;108.74269867
SE;SUDESTE;2023-04-20;57283.76171875;104.57460022;36555.25000000;66.73359680
N;NORTE;2023-04-21;27456.13085938;101.19090271;16486.89843750;60.76330185
NE;NORDESTE;2023-04-21;4097.53515625;35.65610123;4086.09497070;35.55649948
S;SUL;2023-04-21;9717.82226563;149.38929749;5829.72900391;89.61869812
SE;SUDESTE;2023-04-21;58443.00781250;106.69080353;33518.65234375;61.19010162
N;NORTE;2023-04-22;27078.20703125;99.79799652;16025.81445313;59.06389999
NE;NORDESTE;2023-04-22;4152.88085938;36.13769913;4142.87109375;36.05059814
S;SUL;2023-04-22;8849.03417969;136.03359985;3728.23803711;57.31309891
SE;SUDESTE;2023-04-22;58613.82031250;107.00270081;30707.89843750;56.05889893
N;NORTE;2023-04-23;26722.10937500;98.48560333;15939.17773438;58.74459839
NE;NORDESTE;2023-04-23;4174.91601563;36.32939911;4156.32617188;36.16770172
S;SUL;2023-04-23;8144.59179688;125.20449829;3090.75708008;47.51330185
SE;SUDESTE;2023-04-23;58485.26562500;106.76799774;31641.42968750;57.76309967
N;NORTE;2023-04-24;26375.94531250;97.20980072;15851.84570313;58.42269897
NE;NORDESTE;2023-04-24;4175.73779297;36.33660126;4158.57812500;36.18730164
S;SUL;2023-04-24;7553.75781250;116.12169647;6541.52783203;100.56099701
