,state,time,value,sector
32,MA,2017,23643,Public Sector
34,MA,2017,6739,Public Service
28,MA,2017,2178275,Residential
31,MA,2017,59718,Rural
115,MA,2017,2433577,Total
37,MA,2018,148648,Commercial
36,MA,2018,7732,Industrial
40,MA,2018,1207,Public Lighting
39,MA,2018,24203,Public Sector
41,MA,2018,6767,Public Service
35,MA,2018,2242555,Residential
38,MA,2018,60324,Rural
142,MA,2018,2491732,Total
44,MA,2019,142788,Commercial
43,MA,2019,7545,Industrial
47,MA,2019,1181,Public Lighting
46,MA,2019,24831,Public Sector
48,MA,2019,7059,Public Service
42,MA,2019,2276955,Residential
45,MA,2019,88131,Rural
169,MA,2019,2548782,Total
51,MA,2020,135107,Commercial
50,MA,2020,7169,Industrial
54,MA,2020,1248,Public Lighting
53,MA,2020,25312,Public Sector
55,MA,2020,7283,Public Service
49,MA,2020,2308962,Residential
52,MA,2020,109714,Rural
196,MA,2020,2595105,Total
58,MA,2021,125803,Commercial
57,MA,2021,6473,Industrial
61,MA,2021,1420,Public Lighting
60,MA,2021,25698,Public Sector
62,MA,2021,7433,Public Service
56,MA,2021,2327284,Residential
59,MA,2021,135066,Rural
223,MA,2021,2629458,Total
65,MA,2022,59203,Commercial
64,MA,2022,2624,Industrial
68,MA,2022,1597,Public Lighting
67,MA,2022,27394,Public Sector
69,MA,2022,7862,Public Service
63,MA,2022,2454954,Residential
66,MA,2022,122815,Rural
250,MA,2022,2676735,Total
2,MG,2013,754863,Commercial
1,MG,2013,82500,Industrial
5,MG,2013,4147,Public Lighting
4,MG,2013,65569,Public Sector
6,MG,2013,10577,Public Service
0,MG,2013,6675861,Residential
3,MG,2013,750622,Rural
17,MG,2013,8345069,Total
9,MG,2014,766069,Commercial
8,MG,2014,82470,Industrial
12,MG,2014,4352,Public Lighting
11,MG,2014,67322,Public Sector
13,MG,2014,11211,Public Service
7,MG,2014,6884946,Residential
10,MG,2014,769046,Rural
44,MG,2014,8586343,Total
16,MG,2015,760838,Commercial
15,MG,2015,80118,Industrial
19,MG,2015,4502,Public Lighting
18,MG,2015,68010,Public Sector
20,MG,2015,11870,Public Service
14,MG,2015,6981499,Residential
17,MG,2015,761784,Rural
71,MG,2015,8669569,Total
23,MG,2016,762823,Commercial
22,MG,2016,79487,Industrial
26,MG,2016,6029,Public Lighting
25,MG,2016,68708,Public Sector
27,MG,2016,13671,Public Service
21,MG,2016,7145628,Residential
24,MG,2016,775107,Rural
98,MG,2016,8852395,Total
30,MG,2017,764779,Commercial
29,MG,2017,78880,Industrial
33,MG,2017,6511,Public Lighting
32,MG,2017,68713,Public Sector
34,MG,2017,13869,Public Service
28,MG,2017,7230122,Residential
31,MG,2017,791677,Rural
125,MG,2017,8955490,Total
37,MG,2018,766848,Commercial
36,MG,2018,77172,Industrial
40,MG,2018,6778,Public Lighting
39,MG,2018,69531,Public Sector
41,MG,2018,14377,Public Service
35,MG,2018,7292962,Residential
38,MG,2018,799652,Rural
152,MG,2018,9028254,Total
44,MG,2019,818134,Commercial
43,MG,2019,34715,Industrial
47,MG,2019,7044,Public Lighting
46,MG,2019,70413,Public Sector
48,MG,2019,14701,Public Service
42,MG,2019,7454286,Residential
45,MG,2019,785376,Rural
179,MG,2019,9185702,Total
51,MG,2020,823853,Commercial
50,MG,2020,34546,Industrial
54,MG,2020,6505,Public Lighting
53,MG,2020,71742,Public Sector
55,MG,2020,14703,Public Service
49,MG,2020,7621165,Residential
52,MG,2020,776198,Rural
206,MG,2020,9349615,Total
58,MG,2021,841469,Commercial
57,MG,2021,34614,Industrial
61,MG,2021,7063,Public Lighting
60,MG,2021,72993,Public Sector
62,MG,2021,14735,Public Service
56,MG,2021,7809502,Residential
59,MG,2021,761204,Rural
233,MG,2021,9542500,Total
65,MG,2022,999537,Commercial
64,MG,2022,34358,Industrial
68,MG,2022,7449,Public Lighting
67,MG,2022,74889,Public Sector
69,MG,2022,14673,Public Service
63,MG,2022,8040422,Residential
