,state,time,value,sector
8,DF,2014,2299840.0,Residential
11,DF,2014,148360.0,Rural
53,DF,2014,6772360.0,Total
18,DF,2015,2093500.0,Commercial
17,DF,2015,733050.0,Industrial
23,DF,2015,3810.0,Own Use
21,DF,2015,430600.0,Public Lighting
20,DF,2015,634540.0,Public Sector
22,DF,2015,329080.0,Public Service
16,DF,2015,2275020.0,Residential
19,DF,2015,148410.0,Rural
80,DF,2015,6648000.0,Total
26,DF,2016,2065670.0,Commercial
25,DF,2016,613240.0,Industrial
31,DF,2016,3530.0,Own Use
29,DF,2016,443590.0,Public Lighting
28,DF,2016,630450.0,Public Sector
30,DF,2016,353020.0,Public Service
24,DF,2016,2251610.0,Residential
27,DF,2016,149560.0,Rural
107,DF,2016,6510670.0,Total
34,DF,2017,1989040.0,Commercial
33,DF,2017,526780.0,Industrial
39,DF,2017,3480.0,Own Use
37,DF,2017,457750.0,Public Lighting
36,DF,2017,596370.0,Public Sector
38,DF,2017,306340.0,Public Service
32,DF,2017,2186720.0,Residential
35,DF,2017,143720.0,Rural
134,DF,2017,6210200.0,Total
42,DF,2018,1981220.0,Commercial
41,DF,2018,512230.0,Industrial
47,DF,2018,3470.0,Own Use
45,DF,2018,463100.0,Public Lighting
44,DF,2018,570850.0,Public Sector
46,DF,2018,310470.0,Public Service
40,DF,2018,2241220.0,Residential
43,DF,2018,137100.0,Rural
161,DF,2018,6219660.0,Total
50,DF,2019,2038810.0,Commercial
49,DF,2019,522330.00000000006,Industrial
55,DF,2019,3560.0,Own Use
53,DF,2019,436710.0,Public Lighting
52,DF,2019,591670.0,Public Sector
54,DF,2019,330750.0,Public Service
48,DF,2019,2252380.0,Residential
51,DF,2019,139180.0,Rural
188,DF,2019,6315380.0,Total
58,DF,2020,1825010.0,Commercial
57,DF,2020,592470.0,Industrial
63,DF,2020,3500.0,Own Use
61,DF,2020,415390.0,Public Lighting
60,DF,2020,473080.0,Public Sector
62,DF,2020,340430.0,Public Service
