REGION,TECHNOLOGY,YEAR,VALUE
SIN,on_wind,2020,1375.666667
SIN,on_wind,2021,1326.8
SIN,on_wind,2022,1277.933333
SIN,on_wind,2023,1229.066667
SIN,on_wind,2024,1180.2
SIN,on_wind,2025,1131.333333
SIN,on_wind,2026,1082.466667
SIN,on_wind,2027,1033.6
SIN,on_wind,2028,984.7333333
SIN,on_wind,2029,935.8666667
SIN,on_wind,2030,887
SIN,on_wind,2031,880.75
SIN,on_wind,2032,874.5
SIN,on_wind,2033,868.25
SIN,on_wind,2034,862
SIN,on_wind,2035,855.75
SIN,on_wind,2036,849.5
SIN,on_wind,2037,843.25
SIN,on_wind,2038,837
SIN,on_wind,2039,830.75
SIN,on_wind,2040,824.5
SIN,on_wind,2041,818.25
SIN,on_wind,2042,812
SIN,on_wind,2043,805.75
SIN,on_wind,2044,799.5
SIN,on_wind,2045,793.25
SIN,on_wind,2046,787
SIN,on_wind,2047,780.75
SIN,on_wind,2048,774.5
SIN,on_wind,2049,768.25
SIN,on_wind,2050,762
SIN,off_wind,2015,4104
SIN,off_wind,2016,3964.466667
SIN,off_wind,2017,3824.933333
SIN,off_wind,2018,3685.4
SIN,off_wind,2019,3545.866667
SIN,off_wind,2020,3406.333333
SIN,off_wind,2021,3266.8
SIN,off_wind,2022,3127.266667
SIN,off_wind,2023,2987.733333
SIN,off_wind,2024,2848.2
SIN,off_wind,2025,2708.666667
SIN,off_wind,2026,2569.133333
SIN,off_wind,2027,2429.6
SIN,off_wind,2028,2290.066667
SIN,off_wind,2029,2150.533333
SIN,off_wind,2030,2011
SIN,off_wind,2031,1996.65
SIN,off_wind,2032,1982.3
SIN,off_wind,2033,1967.95
SIN,off_wind,2034,1953.6
SIN,off_wind,2035,1939.25
SIN,off_wind,2036,1924.9
SIN,off_wind,2037,1910.55
SIN,off_wind,2038,1896.2
SIN,off_wind,2039,1881.85
SIN,off_wind,2040,1867.5
SIN,off_wind,2041,1853.15
SIN,off_wind,2042,1838.8
SIN,off_wind,2043,1820
SIN,off_wind,2044,1810.1
SIN,off_wind,2045,1795.75
SIN,off_wind,2046,1781.4
SIN,off_wind,2047,1767.05
SIN,off_wind,2048,1752.7
SIN,off_wind,2049,1738.35
SIN,off_wind,2050,1724
SIN,nuclear,2015,6318
SIN,nuclear,2016,6318
SIN,nuclear,2017,6318
SIN,nuclear,2018,6318
SIN,nuclear,2019,6318
SIN,nuclear,2020,6318
SIN,nuclear,2021,6318
SIN,nuclear,2022,6318
SIN,nuclear,2023,6318
SIN,nuclear,2024,6318
SIN,nuclear,2025,6318
SIN,nuclear,2026,6318
SIN,nuclear,2027,6318
SIN,nuclear,2028,6318
SIN,nuclear,2029,6318
SIN,nuclear,2030,6318
SIN,nuclear,2031,6318
SIN,nuclear,2032,6318
SIN,nuclear,2033,6318
SIN,nuclear,2034,6318
SIN,nuclear,2035,6318
SIN,nuclear,2036,6318
SIN,nuclear,2037,6318
SIN,nuclear,2038,6318
SIN,nuclear,2039,6318
SIN,nuclear,2040,6318
SIN,nuclear,2041,6318
SIN,nuclear,2042,6320
SIN,nuclear,2043,6318
SIN,nuclear,2044,6318
SIN,nuclear,2045,6318
SIN,nuclear,2046,6318
SIN,nuclear,2047,6318
SIN,nuclear,2048,6318
SIN,nuclear,2049,6318
SIN,nuclear,2050,6318
SIN,small_hydro,2015,2500
SIN,small_hydro,2016,2500
SIN,small_hydro,2017,2500
SIN,small_hydro,2018,2500
SIN,small_hydro,2019,2500
SIN,small_hydro,2020,2500
SIN,small_hydro,2021,2500
SIN,small_hydro,2022,2500
SIN,small_hydro,2023,2500
SIN,small_hydro,2024,2500
SIN,small_hydro,2025,2500
SIN,small_hydro,2026,2500
SIN,small_hydro,2027,2500
SIN,small_hydro,2028,2500
SIN,small_hydro,2029,2500
SIN,small_hydro,2030,2500
SIN,small_hydro,2031,2500
SIN,small_hydro,2032,2500
SIN,small_hydro,2033,2500
SIN,small_hydro,2034,2500
SIN,small_hydro,2035,2500
SIN,small_hydro,2036,2500
SIN,small_hydro,2037,2500
SIN,small_hydro,2038,2500
SIN,small_hydro,2039,2500
SIN,small_hydro,2040,2500
SIN,small_hydro,2041,2500
SIN,small_hydro,2042,2500
SIN,small_hydro,2043,2500
SIN,small_hydro,2044,2500
SIN,small_hydro,2045,2500
SIN,small_hydro,2046,2500
SIN,small_hydro,2047,2500
SIN,small_hydro,2048,2500
SIN,small_hydro,2049,2500
SIN,small_hydro,2050,2500
