hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
5460,0.0557,0.5144,0.0193,0.0383,0.6543,0.9059,0,0.0883,0.3668,0.5344,0.2384,0.2893,0.1256,0.122,0.9235,0.8545,0.9218,0.207,0.0791,0.9552,0.0392,0.0024,0.2544,0.1324,0.6349,0.176,0.6618
5461,0.0401,0.601,0.0109,0.1304,0.7604,0.9446,0,0.2005,0.5179,0.7401,0.3004,0.2993,0.1192,0.1902,0.9367,0.8717,0.9494,0.185,0.1072,0.9672,0.0148,0.0023,0.298,0.1119,0.6983,0.2336,0.8822
5462,0.0083,0.6811,0.008,0.2067,0.79,0.9534,0,0.2238,0.5266,0.7901,0.2963,0.42,0.2094,0.318,0.9381,0.8869,0.9495,0.2319,0.1072,0.9661,0.0124,0.0048,0.2772,0.1122,0.7366,0.2561,0.9112
5463,0.0126,0.692,0.0091,0.2564,0.7901,0.9556,0,0.2045,0.4609,0.8007,0.2676,0.4398,0.2928,0.4188,0.9333,0.8993,0.9433,0.2476,0.1006,0.9669,0.0255,0.0052,0.3036,0.125,0.7895,0.2153,0.8881
5464,0.0232,0.737,0.0095,0.3072,0.7682,0.9541,0,0.2058,0.3562,0.7879,0.2315,0.4001,0.3656,0.4797,0.9285,0.9006,0.9276,0.2453,0.1076,0.967,0.0443,0.0029,0.3316,0.1284,0.8153,0.1615,0.842
5465,0.0174,0.7668,0.0091,0.3117,0.751,0.9499,0,0.2134,0.2044,0.744,0.1992,0.3396,0.351,0.47,0.9306,0.9133,0.906,0.2371,0.1418,0.963,0.0519,0.0039,0.327,0.1313,0.8415,0.111,0.7666
5466,0.0045,0.7547,0.0099,0.306,0.7185,0.946,0,0.224,0.1071,0.6773,0.1825,0.2745,0.2526,0.4196,0.9347,0.9062,0.8824,0.2193,0.1816,0.9585,0.047,0.0104,0.2984,0.1276,0.8239,0.081,0.67
5467,0.0019,0.6936,0.0117,0.2717,0.6925,0.9391,0,0.2515,0.0735,0.6174,0.1809,0.2222,0.1571,0.3589,0.9246,0.9009,0.8587,0.192,0.2169,0.9503,0.029,0.0152,0.251,0.1256,0.7462,0.0694,0.5753
5468,0.0034,0.6583,0.0113,0.1879,0.6496,0.925,0,0.2754,0.0716,0.5435,0.1838,0.1817,0.1054,0.2961,0.9184,0.8886,0.8359,0.1595,0.2527,0.9343,0.0194,0.0174,0.1817,0.1041,0.6799,0.0688,0.5034
5469,0.0047,0.5587,0.0136,0.1339,0.5761,0.8365,0,0.2701,0.0715,0.36,0.1722,0.1184,0.0643,0.1781,0.8593,0.8307,0.7719,0.0667,0.2382,0.8804,0.0103,0.0193,0.1074,0.0521,0.481,0.0495,0.398
