hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
7836,0.043,0.4334,0.0437,0.1477,0.3696,0.3365,0.1915,0.3132,0.2499,0.245,0.3269,0.2367,0.1859,0.1231,0.4072,0.4205,0.3335,0.2977,0.3298,0.3814,0.0932,0.0544,0.2175,0.2105,0.3734,0.3291,0.2356
7837,0.1724,0.5597,0.1496,0.2751,0.5257,0.4898,0.3009,0.414,0.4233,0.3776,0.4849,0.3832,0.3313,0.2216,0.5723,0.5767,0.5015,0.4501,0.4637,0.5341,0.2116,0.1891,0.3247,0.3301,0.4373,0.4842,0.3492
7838,0.2901,0.6548,0.2502,0.4075,0.6451,0.5951,0.3762,0.5394,0.5502,0.4841,0.5975,0.5225,0.4742,0.2976,0.6801,0.6857,0.6054,0.5769,0.5623,0.6166,0.362,0.3071,0.4468,0.4412,0.5297,0.6045,0.4586
7839,0.4447,0.7198,0.3807,0.5212,0.7079,0.6601,0.471,0.5804,0.6401,0.5619,0.6567,0.6072,0.5697,0.3908,0.7345,0.7421,0.6473,0.6465,0.5856,0.6917,0.4364,0.4525,0.5211,0.4889,0.623,0.6631,0.5293
7840,0.6012,0.732,0.4533,0.5487,0.7083,0.6556,0.4745,0.6079,0.6415,0.6053,0.6495,0.6665,0.6385,0.4388,0.7318,0.744,0.6434,0.6781,0.6122,0.694,0.5944,0.5148,0.5663,0.5429,0.7079,0.6709,0.5566
7841,0.5923,0.7088,0.482,0.5579,0.6652,0.6363,0.4599,0.6124,0.5917,0.5893,0.6105,0.67,0.6359,0.4399,0.6952,0.7085,0.6049,0.6293,0.5872,0.6289,0.6293,0.5633,0.5716,0.5386,0.6957,0.6296,0.543
7842,0.5928,0.6238,0.4987,0.5229,0.5989,0.5539,0.4299,0.5952,0.5501,0.5187,0.5658,0.6013,0.6006,0.4212,0.6058,0.6123,0.5122,0.5807,0.4823,0.5381,0.6175,0.5517,0.5634,0.5284,0.6046,0.5741,0.4848
7843,0.4882,0.5063,0.4727,0.4489,0.4878,0.438,0.342,0.5331,0.4469,0.4681,0.4654,0.506,0.4956,0.3922,0.4758,0.5006,0.4217,0.455,0.3477,0.3841,0.4897,0.5331,0.5119,0.4699,0.5146,0.4551,0.3906
7844,0.3542,0.3319,0.452,0.3614,0.3357,0.2943,0.3124,0.3209,0.359,0.3372,0.3359,0.4663,0.4392,0.2778,0.2744,0.2945,0.2768,0.3961,0.2169,0.2249,0.4563,0.4162,0.4542,0.3653,0.3468,0.3457,0.2652
7845,0.2594,0.134,0.3375,0.223,0.1726,0.1401,0.2499,0.1776,0.2306,0.1792,0.2031,0.3299,0.293,0.1709,0.113,0.12,0.1475,0.2905,0.1184,0.0853,0.3141,0.278,0.3701,0.2686,0.1524,0.2413,0.1442
7846,0.1387,0,0.1802,0.0812,0.0095,0,0.1714,0.007,0.1103,0.0189,0.0628,0.1738,0.1512,0.0639,0,0,0.0042,0.1729,0.0378,0,0.1576,0.1526,0.2447,0.1648,0,0.1246,0.0493
7847,0.0753,0,0.0335,0,0,0,0,0,0,0,0,0.0137,0.0065,0,0,0,0,0.0023,0,0,0.0545,0,0.07,0.0069,0,0,0
7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7857,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7858,0,0.0729,0,0,0.0332,0.0249,0.0045,0.0277,0.0047,0.0054,0.0203,0.0012,0.0001,0.0002,0.0586,0.0546,0.0167,0.0045,0.0227,0.0517,0,0,0.0113,0.0166,0.0681,0.0064,0.0031
7859,0,0.259,0.0021,0.0334,0.1756,0.1581,0.0523,0.0981,0.0971,0.1137,0.1211,0.0768,0.0437,0.0546,0.2272,0.2286,0.1496,0.0716,0.0909,0.2087,0.004,0.0004,0.1368,0.1453,0.2474,0.0619,0.0803
7860,0.0212,0.4438,0.0672,0.1865,0.3395,0.3112,0.1689,0.1722,0.253,0.2887,0.2505,0.2411,0.1931,0.2007,0.4064,0.4206,0.3381,0.1851,0.1472,0.3805,0.0735,0.0675,0.3143,0.309,0.4362,0.1611,0.2173
7861,0.1065,0.5865,0.2096,0.3293,0.4961,0.4512,0.2977,0.2366,0.4034,0.4381,0.374,0.3846,0.3636,0.3751,0.5629,0.5679,0.5057,0.3042,0.2601,0.5475,0.2088,0.2299,0.4609,0.4677,0.561,0.2505,0.3629
7862,0.2601,0.6798,0.3586,0.4584,0.5896,0.5258,0.4297,0.3497,0.5423,0.5176,0.4748,0.5112,0.5102,0.5059,0.6646,0.6632,0.6012,0.4205,0.3254,0.6281,0.3835,0.3788,0.5865,0.585,0.6559,0.3331,0.4812
7863,0.3892,0.7341,0.482,0.5163,0.6174,0.6383,0.5256,0.2974,0.6344,0.573,0.5057,0.5913,0.5938,0.5719,0.712,0.7195,0.6654,0.4872,0.3267,0.706,0.4916,0.4881,0.6719,0.6471,0.732,0.3781,0.5518
7864,0.4823,0.7339,0.5178,0.5813,0.6242,0.6756,0.5423,0.3279,0.6483,0.6386,0.506,0.5951,0.6394,0.5955,0.7307,0.7118,0.6804,0.5021,0.3161,0.7123,0.5599,0.571,0.7284,0.6702,0.7277,0.4254,0.6014
7865,0.5805,0.6548,0.562,0.6086,0.5389,0.6561,0.2923,0.2571,0.6101,0.6336,0.468,0.6084,0.6521,0.6073,0.6861,0.6239,0.6331,0.4771,0.3387,0.6847,0.5873,0.5414,0.747,0.6644,0.6961,0.4409,0.6084
7866,0.5488,0.5064,0.5271,0.5834,0.4816,0.5885,0.3063,0.2145,0.5588,0.6004,0.4289,0.5768,0.6167,0.5992,0.5998,0.513,0.5667,0.4377,0.3276,0.5785,0.6006,0.5431,0.7194,0.5999,0.5211,0.4513,0.5683
7867,0.5459,0.3982,0.4744,0.4621,0.3739,0.4611,0.2501,0.1923,0.4716,0.4887,0.3586,0.5214,0.5209,0.5201,0.448,0.3951,0.4626,0.3254,0.3064,0.4788,0.5352,0.4573,0.6529,0.5027,0.4061,0.3934,0.4757
7868,0.5085,0.2504,0.4379,0.3761,0.2852,0.3226,0.1186,0.1194,0.3899,0.3579,0.3034,0.4626,0.4564,0.3997,0.3019,0.2606,0.3433,0.2679,0.2144,0.3038,0.4987,0.4152,0.5689,0.3938,0.2546,0.3253,0.4016
7869,0.4263,0.1071,0.3056,0.2144,0.1528,0.1496,0.1059,0.0549,0.2474,0.2113,0.1839,0.3173,0.3175,0.2608,0.1231,0.1189,0.1892,0.2106,0.1142,0.1232,0.3559,0.276,0.4482,0.2981,0.1177,0.2503,0.2508
7870,0.3069,0,0.1756,0.0834,0.0088,0,0.0913,0.0072,0.1008,0.0224,0.0651,0.1833,0.1498,0.0926,0,0,0.0059,0.1322,0.042,0,0.1965,0.1239,0.2995,0.1917,0,0.1421,0.0812
7871,0.1493,0,0.0394,0,0,0,0,0,0,0,0,0.0148,0.007,0,0,0,0,0.0037,0,0,0.0712,0,0.0833,0.0081,0,0,0
7872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7881,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7882,0,0.0556,0,0,0.0196,0.0246,0.0045,0.0426,0.005,0.0048,0.0181,0.0009,0.0001,0.0002,0.0498,0.04,0.0115,0.0088,0.053,0.0428,0,0,0.0125,0.0171,0.0374,0.0147,0.0036
7883,0,0.2123,0.0019,0.0285,0.1062,0.1589,0.0788,0.1331,0.0968,0.1048,0.1077,0.0701,0.0466,0.0623,0.2228,0.1809,0.1004,0.1278,0.2206,0.1945,0.0061,0.0004,0.1443,0.1499,0.1691,0.1405,0.104
7884,0.0573,0.3698,0.0691,0.1641,0.2509,0.3162,0.1748,0.2329,0.2579,0.2522,0.2247,0.22,0.2033,0.2299,0.394,0.349,0.24,0.3096,0.3694,0.3545,0.1195,0.0791,0.3262,0.3203,0.2775,0.3203,0.2891
7885,0.2371,0.4506,0.2286,0.3028,0.362,0.4117,0.3212,0.3013,0.4259,0.382,0.3357,0.3559,0.3811,0.3898,0.5252,0.4469,0.3639,0.4863,0.5124,0.5027,0.3042,0.2504,0.4853,0.4719,0.3951,0.4804,0.4424
7886,0.4194,0.5556,0.3983,0.4473,0.4779,0.4975,0.3825,0.4011,0.556,0.4639,0.4288,0.4883,0.5251,0.5251,0.6065,0.5589,0.4749,0.625,0.5705,0.5575,0.4621,0.404,0.6073,0.6129,0.5086,0.6135,0.5646
7887,0.5573,0.6229,0.5273,0.5212,0.5596,0.5712,0.5005,0.4179,0.6478,0.5269,0.4771,0.6161,0.6164,0.5781,0.6862,0.6322,0.5519,0.7195,0.5992,0.6448,0.5987,0.5259,0.6892,0.7088,0.5887,0.6915,0.6279
7888,0.6326,0.6613,0.5931,0.5134,0.5461,0.6242,0.3776,0.444,0.6417,0.511,0.4989,0.6534,0.6599,0.6152,0.6593,0.6044,0.5496,0.7615,0.5296,0.6511,0.6292,0.6121,0.7263,0.7567,0.6124,0.6896,0.6363
7889,0.6205,0.6547,0.565,0.5769,0.5087,0.5903,0.3914,0.3892,0.5869,0.5247,0.4919,0.6286,0.6474,0.6303,0.5972,0.5639,0.5665,0.7636,0.4797,0.6065,0.6077,0.585,0.7302,0.7496,0.6028,0.6724,0.5994
7890,0.6405,0.5819,0.5531,0.5631,0.4484,0.5317,0.3162,0.3298,0.5561,0.4997,0.4552,0.6277,0.6482,0.5954,0.4915,0.4904,0.5309,0.7174,0.4109,0.55,0.6053,0.5686,0.6919,0.7171,0.546,0.6244,0.55
7891,0.5977,0.4276,0.5497,0.4266,0.3887,0.4176,0.2464,0.2288,0.4599,0.4226,0.3749,0.5569,0.5669,0.5293,0.4098,0.3683,0.4426,0.6155,0.3099,0.4391,0.576,0.5413,0.5917,0.591,0.4235,0.5149,0.5019
