REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIN,IMPLFO,EMIC02,1,2044,69.3
SIN,IMPLFO,EMIC02,1,2045,69.3
SIN,IMPLFO,EMIC02,1,2046,69.3
SIN,IMPLFO,EMIC02,1,2047,69.3
SIN,IMPLFO,EMIC02,1,2048,69.3
SIN,IMPLFO,EMIC02,1,2049,69.3
SIN,IMPLFO,EMIC02,1,2050,69.3
SIN,IMPHFO,EMIC02,1,2015,77.4
SIN,IMPHFO,EMIC02,1,2016,77.4
SIN,IMPHFO,EMIC02,1,2017,77.4
SIN,IMPHFO,EMIC02,1,2018,77.4
SIN,IMPHFO,EMIC02,1,2019,77.4
SIN,IMPHFO,EMIC02,1,2020,77.4
SIN,IMPHFO,EMIC02,1,2021,77.4
SIN,IMPHFO,EMIC02,1,2022,77.4
SIN,IMPHFO,EMIC02,1,2023,77.4
SIN,IMPHFO,EMIC02,1,2024,77.4
SIN,IMPHFO,EMIC02,1,2025,77.4
SIN,IMPHFO,EMIC02,1,2026,77.4
SIN,IMPHFO,EMIC02,1,2027,77.4
SIN,IMPHFO,EMIC02,1,2028,77.4
SIN,IMPHFO,EMIC02,1,2029,77.4
SIN,IMPHFO,EMIC02,1,2030,77.4
SIN,IMPHFO,EMIC02,1,2031,77.4
SIN,IMPHFO,EMIC02,1,2032,77.4
SIN,IMPHFO,EMIC02,1,2033,77.4
SIN,IMPHFO,EMIC02,1,2034,77.4
SIN,IMPHFO,EMIC02,1,2035,77.4
SIN,IMPHFO,EMIC02,1,2036,77.4
SIN,IMPHFO,EMIC02,1,2037,77.4
SIN,IMPHFO,EMIC02,1,2038,77.4
SIN,IMPHFO,EMIC02,1,2039,77.4
SIN,IMPHFO,EMIC02,1,2040,77.4
SIN,IMPHFO,EMIC02,1,2041,77.4
SIN,IMPHFO,EMIC02,1,2042,77.4
SIN,IMPHFO,EMIC02,1,2043,77.4
SIN,IMPHFO,EMIC02,1,2044,77.4
SIN,IMPHFO,EMIC02,1,2045,77.4
SIN,IMPHFO,EMIC02,1,2046,77.4
SIN,IMPHFO,EMIC02,1,2047,77.4
SIN,IMPHFO,EMIC02,1,2048,77.4
SIN,IMPHFO,EMIC02,1,2049,77.4
SIN,IMPHFO,EMIC02,1,2050,77.4
SIN,IMPNGS,EMIC02,1,2015,56.1
SIN,IMPNGS,EMIC02,1,2016,56.1
SIN,IMPNGS,EMIC02,1,2017,56.1
SIN,IMPNGS,EMIC02,1,2018,56.1
SIN,IMPNGS,EMIC02,1,2019,56.1
SIN,IMPNGS,EMIC02,1,2020,56.1
